"Number","Start date","Start station number","Start station","End date","End station number","End station","Bike number","Bike model","Total duration","Total duration (ms)"
"158448039","2026-05-31 23:18","002677","Natural History Museum, South Kensington","2026-05-31 23:28","001096","Bayswater Road, Hyde Park","62435","PBSC_EBIKE","9m 38s","578808"
"158448041","2026-05-31 23:18","200162","Watney Market, Stepney","2026-05-31 23:26","200123","Burdett Road, Mile End","53623","CLASSIC","7m 46s","466102"
"158448042","2026-05-31 23:18","002587","Wormwood Street, Liverpool Street","2026-06-01 00:15","300027","Mile End Park Leisure Centre, Mile End","53997","CLASSIC","56m 27s","3387428"
"158448023","2026-05-31 23:17","003452","Panton Street, West End","2026-05-31 23:17","003452","Panton Street, West End","56289","CLASSIC","26s","26585"
"158448024","2026-05-31 23:17","001109","Wellington Arch, Hyde Park","2026-05-31 23:32","001148","Queen Mother Sports Centre, Victoria","57086","CLASSIC","15m 30s","930673"
"158448025","2026-05-31 23:17","001176","Waterloo Road, South Bank","2026-05-31 23:44","300249","Westminster Pier, Westminster","58358","CLASSIC","27m 37s","1657876"
"158448026","2026-05-31 23:17","001107","Gloucester Road Station, South Kensington","2026-05-31 23:30","300087","Imperial Road, Sands End","52932","CLASSIC","13m 34s","814325"
"158448027","2026-05-31 23:17","200197","Barons Court Station, West Kensington","2026-05-31 23:28","200001","Limerston Street, West Chelsea","58584","CLASSIC","10m 58s","658652"
"158448028","2026-05-31 23:17","001176","Waterloo Road, South Bank","2026-05-31 23:44","300249","Westminster Pier, Westminster","56907","CLASSIC","27m 14s","1634668"
"158448029","2026-05-31 23:17","001109","Wellington Arch, Hyde Park","2026-05-31 23:29","001103","Gloucester Street, Pimlico","57605","CLASSIC","12m 16s","736062"
"158448030","2026-05-31 23:17","001102","Leman Street, Aldgate","2026-06-01 00:07","200240","Ferndale Road, Brixton","58819","CLASSIC","50m 20s","3020636"
"158448031","2026-05-31 23:17","300060","Brandon Street, Walworth","2026-05-31 23:36","022166","Albert Gardens, Stepney","55374","CLASSIC","18m 28s","1108388"
"158448032","2026-05-31 23:17","001109","Wellington Arch, Hyde Park","2026-05-31 23:32","001148","Queen Mother Sports Centre, Victoria","59580","CLASSIC","14m 49s","889906"
"158448033","2026-05-31 23:17","001176","Waterloo Road, South Bank","2026-05-31 23:20","001133","Baylis Road, Waterloo","51773","CLASSIC","2m 33s","153788"
"158448034","2026-05-31 23:18","200240","Ferndale Road, Brixton","2026-05-31 23:48","200033","Philpot Street, Whitechapel","56966","CLASSIC","30m 11s","1811330"
"158448010","2026-05-31 23:16","200036","Bell Lane, Liverpool Street","2026-05-31 23:39","300063","Burgess Park Albany Road, Walworth","23267","CLASSIC","23m 24s","1404419"
"158448011","2026-05-31 23:16","001000","Vauxhall Cross, Vauxhall","2026-05-31 23:35","200192","Fawcett Close, Battersea","52551","CLASSIC","19m 26s","1166498"
"158448012","2026-05-31 23:16","300237","Tate Modern, Bankside","2026-05-31 23:22","001216","Swan Street, The Borough","57156","CLASSIC","5m 58s","358266"
"158448013","2026-05-31 23:16","003485","Tyers Gate, Bermondsey","2026-05-31 23:25","300060","Brandon Street, Walworth","59171","CLASSIC","9m 43s","583535"
"158448014","2026-05-31 23:16","200034","Wapping Lane, Wapping","2026-05-31 23:40","022176","Reardon Street, Wapping","53127","CLASSIC","23m 48s","1428511"
"158448015","2026-05-31 23:16","200034","Wapping Lane, Wapping","2026-05-31 23:40","022176","Reardon Street, Wapping","59297","CLASSIC","24m 17s","1457485"
"158448016","2026-05-31 23:16","200156","Pott Street, Bethnal Green","2026-05-31 23:28","200149","Watney Street, Shadwell","41211","CLASSIC","12m 4s","724103"
"158448017","2026-05-31 23:16","001230","Millennium Hotel, Mayfair","2026-05-31 23:18","010621","Upper Grosvenor Street, Mayfair","56711","CLASSIC","1m 41s","101276"
"158448018","2026-05-31 23:16","000972","Hampstead Road, Euston","2026-05-31 23:25","300035","Carnegie Street, King's Cross","23190","CLASSIC","8m 48s","528487"
"158448019","2026-05-31 23:16","000995","Little Argyll Street, West End","2026-05-31 23:31","000998","Lollard Street, Vauxhall","57154","CLASSIC","15m 8s","908702"
"158448020","2026-05-31 23:16","200101","Monument Street, Monument","2026-05-31 23:24","001208","Dickens Square, Borough","64180","PBSC_EBIKE","7m 59s","479086"
"158448021","2026-05-31 23:16","300042","Upper Richmond Road, Putney","2026-05-31 23:20","200177","Santos Road, Wandsworth","56621","CLASSIC","3m 53s","233177"
"158448022","2026-05-31 23:17","003498","Geraldine Street, Elephant & Castle","2026-05-31 23:17","003498","Geraldine Street, Elephant & Castle","58881","CLASSIC","39s","39285"
"158448002","2026-05-31 23:15","200250","Cleveland Way, Stepney","2026-05-31 23:22","200019","Malmesbury Road, Bow","57260","CLASSIC","7m 5s","425258"
"158448003","2026-05-31 23:15","200143","Lancaster Drive, Blackwall","2026-05-31 23:48","200143","Lancaster Drive, Blackwall","58335","CLASSIC","33m 19s","1999831"
"158448004","2026-05-31 23:15","001000","Vauxhall Cross, Vauxhall","2026-05-31 23:20","001165","Riverlight North, Nine Elms","58245","CLASSIC","5m 41s","341152"
"158448005","2026-05-31 23:15","300233","Aquatic Centre, Queen Elizabeth Olympic Park","2026-05-31 23:55","300021","Podium, Queen Elizabeth Olympic Park","55521","CLASSIC","40m 14s","2414843"
"158448006","2026-05-31 23:15","001101","Knightsbridge, Hyde Park","2026-05-31 23:51","300033","Putney Rail Station, Putney","52265","CLASSIC","35m 53s","2153624"
"158448007","2026-05-31 23:15","000985","Hatton Garden, Holborn","2026-05-31 23:18","001053","Clerkenwell Green, Clerkenwell","56075","CLASSIC","2m 47s","167764"
