source_file,raw_rows,silver_rows,quarantine_rows,delta
423JourneyDataExtract01Jul2025-15Jul2025.csv,455095,455095,0,0
424JourneyDataExtract16Jul2025-31Jul2025.csv,443593,443590,3,0
425JourneyDataExtract01Aug2025-15Aug2025.csv,390425,390425,0,0
426JourneyDataExtract16Aug2025-31Aug2025.csv,414520,414466,54,0
427JourneyDataExtract01Sep2025-15Sep2025.csv,437252,437250,2,0
428JourneyDataExtract16Sep2025-30Sep2025.csv,429097,429096,1,0
429JourneyDataExtract01Oct2025-15Oct2025.csv,431748,431747,1,0
430JourneyDataExtract16Oct2025-31Oct2025.csv,398859,398859,0,0
431JourneyDataExtract01Nov2025-15Nov2025.csv,376471,376471,0,0
432JourneyDataExtract16Nov2025-30Nov2025.csv,336361,336359,2,0
433JourneyDataExtract01Dec2025-15Dec2025.csv,339106,339103,3,0
434JourneyDataExtract16Dec2025-31Dec2025.csv,218813,218813,0,0
435JourneyDataExtract01Jan2026-15Jan2026.csv,234788,234787,1,0
436JourneyDataExtract16Jan2026-31Jan2026.csv,340895,340894,1,0
437JourneyDataExtract01Feb2026-14Feb2026.csv,265910,265910,0,0
438JourneyDataExtract15Feb2026-28Feb2026.csv,298734,298734,0,0
439JourneyDataExtract01Mar2026-15Mar2026.csv,353765,353764,1,0
440JourneyDataExtract15Mar2026-31Mar2026.csv,403325,403322,3,0
441JourneyDataExtract01Apr2026-15Apr2026.csv,350915,350913,2,0
442JourneyDataExtract16Apr2026-30Apr2026.csv,451917,451912,5,0
443JourneyDataExtract01May2026-16May2026.csv,426815,426815,0,0
444JourneyDataExtract17May2026-31May2026.csv,436202,436200,2,0
